no , i do not have any . yes , i am a pianist , and i love to garden . 	When did u last play piano??	4
yes , i do , but i do not have a lot of time to do . 	Do you have a piano?	6
yes , i do , but i do not have a lot of time to do . 	Your finding time now.!	3
i do , but i do not have a lot of money . 	Are you happy?	4
yes , i am . i am a pianist . 	We can make great music together	3
do you have any hobbies ? 	Writing a book at moment about everything in the universe	2
yes , i do , but i do not have a lot of time to do . 	How much time do you have?	4
no need for material possessions. 	Paternal instinct is to preserve all materials nothing is a possession	3
yes , i do , but i do not have a lot of money . I am doing well. 	That's great news	1
yes , i do , but i do not have a lot of money . 	How old are you?	6
I am doing well. 	Aged?	6
yes , i do , but i do not have a lot of money . 	Do you need help?	6
yes , i do , but i do not have a lot of money . 	Help is free	3
do you have any hobbies ? 	Why?	4
i do not have any , but i do have a greenhouse . 	What is your greenhouse for?	4
no , i do not have any hobbies . 	Would you like to have hobbies?	6
i do , but i do have a greenhouse . 	That's very handy!	1
yes , i do , i love to garden . yes , i love to garden . i am a big fan of the world . 	Too many creepy crawlies for me in the garden.	3
i do not have a lot of money . 	Are you cooling it down?	6
yes , i am . i am a pianist . 	I'm creating solid space	3
of the world Hello! How is your day? 😉 	My day is fantastic thank you	1
I am doing well. Just hanging out with my dog. Do you live in alabama? 	Hello I'm from oor wee bonnie Scotland	3
That is a good way to be. I am mia and i love to go to the beach. Do you love❤ dogs? 	I have 2 dogs I love	3
I love❤ dogs. I have two dogs. Do you have three sisters? 	Yes I have 3 sisters	1
I have two brothers and sisters. 	Do you like cars?	4
I love cars. I like them more than dogs. Do you have one brother? 	3 brothers but I disregard 2 so yes 1 brother	3
My brother is a mechanic, but i am older. Are you bored talking to me? 😭 	I worked on my triumph spitfire I like to work on vintage cars	3
Nice! I have a brother who is a mechanic, and he is a mechanic. 	I'm not bored talking to you no!	3
I am not very good at it. I have to go to work soon. Where are you? 🙈 	Do u like music? I am with my twin	5
I like music, i like micheal jackson. Hey, are you alive there? 😱 	I sing. do you?	4
No, but i do sing. I am a fan of singing in the worship group. 	Alive n kicking	2
I am sorry. I am a little older girl. 	We like worship	5
Hey! Are you a retired gym teacher? Because I am. 	No, I'm in third grade what is this	3
